,Al,Si,Al2Si2Sr
168,-1.22,-0.63,0.72
169,-1.22,-0.63,0.73
170,-1.22,-0.63,0.74
171,-1.22,-0.64,0.75
172,-1.22,-0.64,0.76
173,-1.22,-0.64,0.77
174,-1.23,-0.64,0.78
175,-1.23,-0.64,0.79
176,-1.23,-0.64,0.80
177,-1.23,-0.64,0.81
178,-1.23,-0.65,0.82
179,-1.23,-0.65,0.83
180,-1.23,-0.65,0.84
181,-1.23,-0.65,0.85
182,-1.23,-0.65,0.87
183,-1.23,-0.65,0.88
184,-1.23,-0.66,0.89
185,-1.23,-0.66,0.90
186,-1.23,-0.66,0.91
187,-1.23,-0.66,0.92
188,-1.23,-0.66,0.93
189,-1.23,-0.66,0.94
190,-1.23,-0.66,0.95
191,-1.23,-0.67,0.96
192,-1.23,-0.67,0.97
193,-1.23,-0.67,0.98
194,-1.23,-0.67,0.99
195,-1.23,-0.67,1.00
196,-1.23,-0.67,1.01
197,-1.23,-0.68,1.02
198,-1.23,-0.68,1.04
199,-1.23,-0.68,1.05
200,-1.23,-0.68,1.06
201,-1.23,-0.68,1.07
202,-1.23,-0.68,1.08
203,-1.23,-0.68,1.09
204,-1.23,-0.69,1.10
205,-1.23,-0.69,1.11
206,-1.23,-0.69,1.12
207,-1.23,-0.69,1.13
208,-1.23,-0.69,1.14
209,-1.23,-0.69,1.15
210,-1.23,-0.69,1.16
211,-1.23,-0.70,1.17
212,-1.23,-0.70,1.18
213,-1.23,-0.70,1.20
214,-1.23,-0.70,1.21
215,-1.23,-0.70,1.22
216,-1.23,-0.70,1.23
217,-1.23,-0.71,1.24
218,-1.23,-0.71,1.25
219,-1.23,-0.71,1.26
220,-1.23,-0.71,1.27
221,-1.23,-0.71,1.28
222,-1.23,-0.71,1.29
223,-1.23,-0.71,1.30
224,-1.23,-0.72,1.31
225,-1.23,-0.72,1.32
226,-1.23,-0.72,1.33
227,-1.23,-0.72,1.34
228,-1.23,-0.72,1.35
229,-1.23,-0.72,1.37
230,-1.23,-0.73,1.38
231,-1.23,-0.73,1.39
232,-1.23,-0.73,1.40
233,-1.23,-0.73,1.41
234,-1.23,-0.73,1.42
235,-1.23,-0.73,1.43
236,-1.23,-0.73,1.44
237,-1.23,-0.74,1.45
238,-1.23,-0.74,1.46
239,-1.23,-0.74,1.47
240,-1.23,-0.74,1.48
241,-1.23,-0.74,1.49
242,-1.23,-0.74,1.50
243,-1.23,-0.74,1.51
244,-1.23,-0.75,1.53
245,-1.23,-0.75,1.54
246,-1.23,-0.75,1.55
247,-1.23,-0.75,1.56
248,-1.23,-0.75,1.57
249,-1.23,-0.75,1.58
250,-1.23,-0.76,1.59
