,Al,Eut,Al2Sc2Si2
150,0.65,-0.61,-0.92
151,0.65,-0.61,-0.91
152,0.66,-0.60,-0.91
153,0.66,-0.60,-0.91
154,0.66,-0.60,-0.90
155,0.66,-0.60,-0.90
156,0.66,-0.59,-0.90
157,0.66,-0.59,-0.89
158,0.66,-0.59,-0.89
159,0.66,-0.58,-0.89
160,0.67,-0.58,-0.88
161,0.67,-0.58,-0.88
162,0.67,-0.58,-0.87
163,0.67,-0.57,-0.87
164,0.67,-0.57,-0.87
165,0.67,-0.57,-0.86
166,0.67,-0.57,-0.86
167,0.68,-0.56,-0.86
168,0.68,-0.56,-0.85
169,0.68,-0.56,-0.85
170,0.68,-0.55,-0.85
171,0.68,-0.55,-0.84
172,0.68,-0.55,-0.84
173,0.68,-0.55,-0.83
174,0.68,-0.54,-0.83
175,0.69,-0.54,-0.83
176,0.69,-0.54,-0.82
177,0.69,-0.53,-0.82
178,0.69,-0.53,-0.82
179,0.69,-0.53,-0.81
180,0.69,-0.53,-0.81
181,0.69,-0.52,-0.81
182,0.70,-0.52,-0.80
183,0.70,-0.52,-0.80
184,0.70,-0.52,-0.80
185,0.70,-0.51,-0.79
186,0.70,-0.51,-0.79
187,0.70,-0.51,-0.78
188,0.70,-0.50,-0.78
189,0.70,-0.50,-0.78
190,0.71,-0.50,-0.77
191,0.71,-0.50,-0.77
192,0.71,-0.49,-0.77
193,0.71,-0.49,-0.76
194,0.71,-0.49,-0.76
195,0.71,-0.48,-0.76
196,0.71,-0.48,-0.75
197,0.72,-0.48,-0.75
198,0.72,-0.48,-0.75
199,0.72,-0.47,-0.74
200,0.72,-0.47,-0.74
201,0.72,-0.47,-0.73
202,0.72,-0.47,-0.73
203,0.72,-0.46,-0.73
204,0.72,-0.46,-0.72
205,0.73,-0.46,-0.72
206,0.73,-0.45,-0.72
207,0.73,-0.45,-0.71
208,0.73,-0.45,-0.71
209,0.73,-0.45,-0.71
210,0.73,-0.44,-0.70
211,0.74,-0.45,-0.74
212,0.74,-0.45,-0.74
213,0.74,-0.45,-0.74
214,0.74,-0.45,-0.74
215,0.74,-0.45,-0.73
216,0.75,-0.45,-0.73
217,0.75,-0.46,-0.73
218,0.75,-0.46,-0.72
219,0.75,-0.46,-0.72
220,0.75,-0.46,-0.71
221,0.75,-0.46,-0.71
222,0.75,-0.46,-0.71
223,0.75,-0.46,-0.70
224,0.76,-0.47,-0.70
225,0.76,-0.47,-0.70
226,0.76,-0.47,-0.69
227,0.76,-0.47,-0.69
228,0.76,-0.47,-0.68
229,0.76,-0.47,-0.68
230,0.76,-0.47,-0.68
231,0.76,-0.48,-0.67
232,0.76,-0.48,-0.67
233,0.77,-0.48,-0.67
234,0.77,-0.48,-0.66
235,0.77,-0.48,-0.66
236,0.77,-0.48,-0.65
237,0.77,-0.48,-0.65
238,0.77,-0.49,-0.65
239,0.77,-0.49,-0.64
240,0.77,-0.49,-0.64
241,0.78,-0.49,-0.63
242,0.78,-0.49,-0.63
243,0.78,-0.49,-0.63
244,0.78,-0.49,-0.62
245,0.78,-0.50,-0.62
246,0.78,-0.50,-0.62
247,0.78,-0.50,-0.61
248,0.78,-0.50,-0.61
249,0.78,-0.50,-0.60
250,0.79,-0.50,-0.60
251,0.79,-0.50,-0.60
252,0.79,-0.51,-0.59
253,0.79,-0.51,-0.59
254,0.79,-0.51,-0.59
255,0.79,-0.51,-0.58
256,0.79,-0.51,-0.58
257,0.79,-0.51,-0.57
258,0.80,-0.51,-0.57
259,0.80,-0.51,-0.57
260,0.80,-0.52,-0.56
261,0.80,-0.52,-0.56
262,0.80,-0.52,-0.56
263,0.80,-0.52,-0.55
264,0.80,-0.52,-0.55
265,0.80,-0.52,-0.54
266,0.81,-0.52,-0.54
267,0.81,-0.53,-0.54
268,0.81,-0.53,-0.53
269,0.81,-0.53,-0.53
270,0.81,-0.53,-0.53
271,0.81,-0.53,-0.52
272,0.81,-0.53,-0.52
273,0.81,-0.53,-0.51
274,0.81,-0.54,-0.51
275,0.82,-0.54,-0.51
276,0.82,-0.54,-0.50
277,0.82,-0.54,-0.50
278,0.82,-0.54,-0.50
279,0.82,-0.54,-0.49
280,0.82,-0.54,-0.49
281,0.82,-0.55,-0.48
282,0.82,-0.55,-0.48
283,0.83,-0.55,-0.48
284,0.83,-0.55,-0.47
285,0.83,-0.55,-0.47
286,0.83,-0.55,-0.47
287,0.83,-0.55,-0.46
288,0.83,-0.56,-0.46
289,0.83,-0.56,-0.45
290,0.83,-0.56,-0.45
291,0.83,-0.56,-0.45
292,0.84,-0.56,-0.44
293,0.84,-0.56,-0.44
294,0.84,-0.56,-0.43
295,0.84,-0.57,-0.43
296,0.84,-0.57,-0.43
297,0.84,-0.57,-0.42
298,0.84,-0.57,-0.42
299,0.84,-0.57,-0.42
300,0.85,-0.57,-0.41
301,0.85,-0.57,-0.41
302,0.85,-0.58,-0.40
303,0.85,-0.58,-0.40
304,0.85,-0.58,-0.40
305,0.85,-0.58,-0.39
306,0.85,-0.58,-0.39
307,0.85,-0.58,-0.39
308,0.86,-0.58,-0.38
309,0.86,-0.59,-0.38
310,0.86,-0.59,-0.37
311,0.86,-0.59,-0.37
312,0.86,-0.59,-0.37
313,0.86,-0.59,-0.36
314,0.86,-0.59,-0.36
315,0.86,-0.59,-0.36
316,0.86,-0.60,-0.35
317,0.87,-0.60,-0.35
318,0.87,-0.60,-0.34
319,0.87,-0.60,-0.34
320,0.87,-0.60,-0.34
321,0.87,-0.60,-0.33
322,0.87,-0.60,-0.33
323,0.87,-0.61,-0.33
324,0.87,-0.61,-0.32
325,0.88,-0.61,-0.32
326,0.88,-0.61,-0.31
327,0.88,-0.61,-0.31
328,0.88,-0.61,-0.31
329,0.88,-0.61,-0.30
330,0.88,-0.62,-0.30
331,0.88,-0.62,-0.30
332,0.88,-0.62,-0.29
333,0.88,-0.62,-0.29
334,0.89,-0.62,-0.28
335,0.89,-0.62,-0.28
336,0.89,-0.62,-0.28
337,0.89,-0.63,-0.27
338,0.89,-0.63,-0.27
339,0.89,-0.63,-0.26
340,0.89,-0.63,-0.26
341,0.89,-0.63,-0.26
342,0.90,-0.63,-0.25
343,0.90,-0.63,-0.25
344,0.90,-0.64,-0.25
345,0.90,-0.64,-0.24
346,0.90,-0.64,-0.24
347,0.90,-0.64,-0.23
348,0.90,-0.64,-0.23
349,0.90,-0.64,-0.23
350,0.90,-0.64,-0.22
351,0.91,-0.65,-0.22
352,0.91,-0.65,-0.22
353,0.91,-0.65,-0.21
354,0.91,-0.65,-0.21
355,0.91,-0.65,-0.20
356,0.91,-0.65,-0.20
357,0.91,-0.65,-0.20
358,0.91,-0.66,-0.19
359,0.92,-0.66,-0.19
360,0.92,-0.66,-0.19
361,0.92,-0.66,-0.18
362,0.92,-0.66,-0.18
363,0.92,-0.66,-0.17
364,0.92,-0.66,-0.17
365,0.92,-0.66,-0.17
366,0.92,-0.67,-0.16
367,0.93,-0.67,-0.16
368,0.93,-0.67,-0.16
369,0.93,-0.67,-0.15
370,0.93,-0.67,-0.15
371,0.93,-0.67,-0.14
372,0.93,-0.67,-0.14
373,0.93,-0.68,-0.14
374,0.93,-0.68,-0.13
375,0.93,-0.68,-0.13
376,0.94,-0.68,-0.13
377,0.94,-0.68,-0.12
378,0.94,-0.68,-0.12
379,0.94,-0.68,-0.11
380,0.94,-0.69,-0.11
381,0.94,-0.69,-0.11
382,0.94,-0.69,-0.10
383,0.94,-0.69,-0.10
384,0.95,-0.69,-0.10
385,0.95,-0.69,-0.09
386,0.95,-0.69,-0.09
387,0.95,-0.70,-0.08
388,0.95,-0.70,-0.08
389,0.95,-0.70,-0.08
390,0.95,-0.70,-0.07
391,0.95,-0.70,-0.07
392,0.95,-0.70,-0.06
393,0.96,-0.70,-0.06
394,0.96,-0.71,-0.06
395,0.96,-0.71,-0.05
396,0.96,-0.71,-0.05
397,0.96,-0.71,-0.05
398,0.96,-0.71,-0.04
399,0.96,-0.71,-0.04
400,0.96,-0.71,-0.03
401,0.97,-0.72,-0.03
402,0.97,-0.72,-0.03
403,0.97,-0.72,-0.02
404,0.97,-0.72,-0.02
405,0.97,-0.72,-0.02
406,0.97,-0.72,-0.01
407,0.97,-0.72,-0.01
408,0.97,-0.73,-0.00
409,0.97,-0.73,-0.00
410,0.98,-0.73,0.00
411,0.98,-0.73,0.01
412,0.98,-0.73,0.01
413,0.98,-0.73,0.01
414,0.98,-0.73,0.02
415,0.98,-0.74,0.02
416,0.98,-0.74,0.03
417,0.98,-0.74,0.03
418,0.99,-0.74,0.03
419,0.99,-0.74,0.04
420,0.99,-0.74,0.04
421,0.99,-0.74,0.04
422,0.99,-0.75,0.05
423,0.99,-0.75,0.05
424,0.99,-0.75,0.06
425,0.99,-0.75,0.06
426,1.00,-0.75,0.06
427,1.00,-0.75,0.07
428,1.00,-0.75,0.07
429,1.00,-0.76,0.07
430,1.00,-0.76,0.08
431,1.00,-0.76,0.08
432,1.00,-0.76,0.09
433,1.00,-0.76,0.09
434,1.00,-0.76,0.09
435,1.01,-0.76,0.10
436,1.01,-0.77,0.10
437,1.01,-0.77,0.10
438,1.01,-0.77,0.11
439,1.01,-0.77,0.11
440,1.01,-0.77,0.12
441,1.01,-0.77,0.12
442,1.01,-0.77,0.12
443,1.02,-0.78,0.13
444,1.02,-0.78,0.13
445,1.02,-0.78,0.14
446,1.02,-0.78,0.14
447,1.02,-0.78,0.14
448,1.02,-0.78,0.15
449,1.02,-0.78,0.15
450,1.02,-0.79,0.15
451,1.02,-0.79,0.16
452,1.03,-0.79,0.16
453,1.03,-0.79,0.17
454,1.03,-0.79,0.17
455,1.03,-0.79,0.17
456,1.03,-0.79,0.18
457,1.03,-0.80,0.18
458,1.03,-0.80,0.18
459,1.03,-0.80,0.19
460,1.04,-0.80,0.19
461,1.04,-0.80,0.20
462,1.04,-0.80,0.20
463,1.04,-0.80,0.20
464,1.04,-0.80,0.21
465,1.04,-0.81,0.21
466,1.04,-0.81,0.21
467,1.04,-0.81,0.22
468,1.05,-0.81,0.22
469,1.05,-0.81,0.23
470,1.05,-0.81,0.23
471,1.05,-0.81,0.23
472,1.05,-0.82,0.24
473,1.05,-0.82,0.24
474,1.05,-0.82,0.24
475,1.05,-0.82,0.25
476,1.05,-0.82,0.25
477,1.06,-0.82,0.26
478,1.06,-0.82,0.26
479,1.06,-0.83,0.26
480,1.06,-0.83,0.27
481,1.06,-0.83,0.27
482,1.06,-0.83,0.27
483,1.06,-0.83,0.28
484,1.06,-0.83,0.28
485,1.07,-0.83,0.29
486,1.07,-0.84,0.29
487,1.07,-0.84,0.29
488,1.07,-0.84,0.30
489,1.07,-0.84,0.30
490,1.07,-0.84,0.31
491,1.07,-0.84,0.31
492,1.07,-0.84,0.31
493,1.07,-0.85,0.32
494,1.08,-0.85,0.32
495,1.08,-0.85,0.32
496,1.08,-0.85,0.33
497,1.08,-0.85,0.33
498,1.08,-0.85,0.34
499,1.08,-0.85,0.34
500,1.08,-0.86,0.34
501,1.08,-0.86,0.35
502,1.09,-0.86,0.35
503,1.09,-0.86,0.35
504,1.09,-0.86,0.36
505,1.09,-0.86,0.36
506,1.09,-0.86,0.37
507,1.09,-0.87,0.37
508,1.09,-0.87,0.37
509,1.09,-0.87,0.38
510,1.09,-0.87,0.38
511,1.10,-0.87,0.38
512,1.10,-0.87,0.39
513,1.10,-0.87,0.39
514,1.10,-0.88,0.40
515,1.10,-0.88,0.40
516,1.10,-0.88,0.40
517,1.10,-0.88,0.41
518,1.10,-0.88,0.41
519,1.11,-0.88,0.41
520,1.11,-0.88,0.42
521,1.11,-0.89,0.42
522,1.11,-0.89,0.43
523,1.11,-0.89,0.43
524,1.11,-0.89,0.43
525,1.11,-0.89,0.44
526,1.11,-0.89,0.44
527,1.12,-0.89,0.44
528,1.12,-0.90,0.45
529,1.12,-0.90,0.45
530,1.12,-0.90,0.46
531,1.12,-0.90,0.46
532,1.12,-0.90,0.46
533,1.12,-0.90,0.47
534,1.12,-0.90,0.47
535,1.12,-0.91,0.47
536,1.13,-0.91,0.48
537,1.13,-0.91,0.48
538,1.13,-0.91,0.49
539,1.13,-0.91,0.49
540,1.13,-0.91,0.49
541,1.13,-0.91,0.50
542,1.11,-0.90,0.50
543,1.10,-0.89,0.50
544,1.09,-0.87,0.51
545,1.07,-0.86,0.51
546,1.06,-0.85,0.52
547,1.05,-0.84,0.52
548,1.03,-0.82,0.52
549,1.02,-0.81,0.53
550,1.00,-0.80,0.53
551,0.99,-0.78,0.53
552,0.98,-0.77,0.54
553,0.96,-0.76,0.54
554,0.95,-0.75,0.54
555,0.93,-0.73,0.55
556,0.92,-0.72,0.55
557,0.91,-0.71,0.56
558,0.89,-0.70,0.56
559,0.88,-0.68,0.56
560,0.86,-0.67,0.57
561,0.85,-0.66,0.57
562,0.84,-0.65,0.57
563,0.82,-0.63,0.58
564,0.81,-0.62,0.58
565,0.80,-0.61,0.58
566,0.78,-0.60,0.59
567,0.77,-0.58,0.59
568,0.75,-0.57,0.60
569,0.74,-0.56,0.60
570,0.73,-0.54,0.60
571,0.71,-0.53,0.61
572,0.70,-0.52,0.61
573,0.68,-0.51,0.61
574,0.67,-0.49,0.62
575,0.66,-0.48,0.62
576,0.64,-0.47,0.62
577,0.63,-0.46,0.63
578,0.61,-0.44,0.63
579,0.60,-0.43,0.64
580,0.59,-0.42,0.64
581,0.57,-0.41,0.64
582,0.56,-0.39,0.65
583,0.54,-0.38,0.65
584,0.53,-0.37,0.65
585,0.52,-0.35,0.66
586,0.50,-0.34,0.66
587,0.49,-0.33,0.66
588,0.48,-0.32,0.67
589,0.46,-0.30,0.67
590,0.45,-0.29,0.68
591,0.43,-0.28,0.68
592,0.42,-0.27,0.68
593,0.41,-0.25,0.69
594,0.39,-0.24,0.69
595,0.38,-0.23,0.69
596,0.36,-0.22,0.70
597,0.35,-0.20,0.70
598,0.34,-0.19,0.70
599,0.32,-0.18,0.71
600,0.31,-0.17,0.71
601,0.29,-0.15,0.72
602,0.28,-0.14,0.72
603,0.27,-0.13,0.72
604,0.25,-0.11,0.73
605,0.24,-0.10,0.73
606,0.23,-0.09,0.73
607,0.21,-0.08,0.74
608,0.20,-0.06,0.74
609,0.18,-0.05,0.74
610,0.17,-0.04,0.75
611,0.16,-0.03,0.75
612,0.14,-0.01,0.76
613,0.13,-0.00,0.76
614,0.11,0.01,0.76
615,0.10,0.02,0.77
616,0.09,0.04,0.77
617,0.07,0.05,0.77
618,0.06,0.06,0.78
619,0.04,0.08,0.78
620,0.03,0.09,0.78
621,0.02,0.10,0.79
622,0.00,0.11,0.79
623,-0.01,0.13,0.80
624,-0.02,0.14,0.80
625,-0.04,0.15,0.80
626,-0.05,0.16,0.81
627,-0.07,0.18,0.81
628,-0.08,0.19,0.81
629,-0.09,0.20,0.82
630,-0.11,0.21,0.82
631,-0.12,0.23,0.82
632,-0.14,0.24,0.83
633,-0.15,0.25,0.83
634,-0.16,0.26,0.84
635,-0.18,0.28,0.84
636,-0.19,0.29,0.84
637,-0.21,0.30,0.85
638,-0.22,0.32,0.85
639,-0.23,0.33,0.85
640,-0.25,0.34,0.86
641,-0.26,0.35,0.86
642,-0.28,0.37,0.86
643,-0.29,0.38,0.87
644,-0.30,0.39,0.87
645,-0.32,0.40,0.88
646,-0.33,0.42,0.88
647,-0.34,0.43,0.88
648,-0.36,0.44,0.89
649,-0.37,0.45,0.89
650,-0.39,0.47,0.89
651,-0.40,0.48,0.90
652,-0.41,0.49,0.90
653,-0.43,0.51,0.91
654,-0.44,0.52,0.91
655,-0.46,0.53,0.91
656,-0.47,0.54,0.92
657,-0.48,0.56,0.92
658,-0.50,0.57,0.92
659,-0.51,0.58,0.93
660,-0.53,0.59,0.93
661,-0.54,0.61,0.93
662,-0.55,0.62,0.94
663,-0.57,0.63,0.94
664,-0.58,0.64,0.95
665,-0.59,0.66,0.95
666,-0.61,0.67,0.95
667,-0.62,0.68,0.96
668,-0.64,0.69,0.96
669,-0.65,0.71,0.96
670,-0.66,0.72,0.97
671,-0.68,0.73,0.97
672,-0.69,0.75,0.97
673,-0.71,0.76,0.98
674,-0.72,0.77,0.98
675,-0.73,0.78,0.99
676,-0.75,0.80,0.99
677,-0.76,0.81,0.99
678,-0.78,0.82,1.00
679,-0.79,0.83,1.00
680,-0.80,0.85,1.00
681,-0.82,0.86,1.01
682,-0.83,0.87,1.01
683,-0.85,0.88,1.01
684,-0.86,0.90,1.02
685,-0.87,0.91,1.02
686,-0.89,0.92,1.03
687,-0.90,0.94,1.03
688,-0.91,0.95,1.03
689,-0.93,0.96,1.04
690,-0.94,0.97,1.04
691,-0.96,0.99,1.04
692,-0.97,1.00,1.05
693,-0.98,1.01,1.05
694,-1.00,1.02,1.05
695,-1.01,1.04,1.06
696,-1.03,1.05,1.06
697,-1.04,1.06,1.07
698,-1.05,1.07,1.07
699,-1.07,1.09,1.07
700,-1.08,1.10,1.08
701,-1.10,1.11,1.08
702,-1.11,1.12,1.08
703,-1.12,1.14,1.09
704,-1.14,1.15,1.09
705,-1.15,1.16,1.09
706,-1.16,1.18,1.10
707,-1.18,1.19,1.10
708,-1.19,1.20,1.11
709,-1.21,1.21,1.11
710,-1.22,1.23,1.11
711,-1.23,1.24,1.12
712,-1.25,1.25,1.12
713,-1.26,1.26,1.12
714,-1.28,1.28,1.13
715,-1.29,1.29,1.13
716,-1.30,1.30,1.13
717,-1.32,1.31,1.14
718,-1.33,1.33,1.14
719,-1.35,1.34,1.15
720,-1.36,1.35,1.15
721,-1.37,1.37,1.15
722,-1.39,1.38,1.16
723,-1.40,1.39,1.16
724,-1.41,1.40,1.16
725,-1.43,1.42,1.17
726,-1.44,1.43,1.17
727,-1.46,1.44,1.17
728,-1.47,1.45,1.18
729,-1.48,1.47,1.18
730,-1.50,1.48,1.19
731,-1.51,1.49,1.19
732,-1.53,1.50,1.19
733,-1.54,1.52,1.20
734,-1.55,1.53,1.20
735,-1.57,1.54,1.20
736,-1.58,1.55,1.21
737,-1.60,1.57,1.21
738,-1.61,1.58,1.21
739,-1.62,1.59,1.22
740,-1.64,1.61,1.22
741,-1.65,1.62,1.23
742,-1.67,1.63,1.23
743,-1.68,1.64,1.23
744,-1.69,1.66,1.24
745,-1.71,1.67,1.24
746,-1.72,1.68,1.24
747,-1.73,1.69,1.25
748,-1.75,1.71,1.25
749,-1.76,1.72,1.25
750,-1.78,1.73,1.26
